country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
zedebom,keri-meri,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 32 hours ago,rankings.php?subregion=sea,,$300 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=61777,,,,Normal,,
Mesia,Mr.Nafiz Abe,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 16 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61782,,,,Normal,,
Kamikazie,kamikazie,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 6 hours ago,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=61783,,,,Normal,,
saiya,saiya,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 37 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61785,,,,Normal,,
Sebatu,ze_49,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 84 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61790,,,,Normal,,
Capital letter,aidilomar,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61795,,,,Normal,,
hiddenvillage,uzumaki975,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 2 hours ago,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=61796,,,,Normal,,
Durian Pancake,rikkie_chong,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 11 hours ago,rankings.php?subregion=chi,,$300 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,None,http://blocgame.com/stats.php?id=61799,,,,Normal,,
EmpayarGalaktik,DarthVaderMalaya,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 171 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61800,,,,Normal,,
nanas,nanas batu,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61809,,,,Normal,,
